code_in_XMLs	resolved_code_and_link	note	organization	location	status
A	[[Collection A|A]]	Automatically matched with IH	Harvard University	Cambridge, Massachusetts, U.S.A.	Active
AA	[[Collection AA|AA]]	Automatically matched with IH	Ministry of Science, Academy of Sciences	Alma-Ata, Kazakhstan	Active
AAH	[[Collection AAH|AAH]]	Automatically matched with IH	Arnold Arboretum, Harvard University	Jamaica Plain, Massachusetts, U.S.A.	Inactive
AAR	[[Collection AAR|AAR]]	Automatically matched with IH	Reliquae Aaronsohnianae	Zichron-Yaakov, Israel	Inactive
AAU	[[Collection AAU|AAU]]	Automatically matched with IH	Aarhus University	Aarhus, Denmark	Active
ABD	[[Collection ABD|ABD]]	Automatically matched with IH	University of Aberdeen	Aberdeen, Scotland, United Kingdom	Active
ABFM	[[Collection ABFM|ABFM]]	GRSciColl has a record. Only a 404 [link to IH](http://sweetgum.nybg.org/science/ih/herbarium-details/?irn=126143). Made a page manually	Barnes Arboretum at St. Joseph's University	Merion, Pennsylvania, U.S.A.	Active?
AHFM	[[Collection ABFM|ABFM]]	Typo or alternative spelling. Should be ABFM			
ABI	[[Collection ABI|ABI]]	Automatically matched with IH	Centre ORSTOM d'Adiopodoume	Abidjan, Ivory Coast	Inactive
ABS	[[Collection ABS|ABS]]	Automatically matched with IH	Aberystwyth University	Aberystwyth, Wales, U.K.	Active
ABSH	[[Collection ABSH|ABSH]]	Automatically matched with IH	Southern Illinois University	Carbondale, Illinois, U.S.A.	Inactive
ABSL	[[Collection ABSL|ABSL]]	Automatically matched with IH	University of Minnesota	St. Paul, Minnesota, U.S.A.	Inactive
AC	[[Collection AC|AC]]	Automatically matched with IH	Amherst College	Amherst, Massachusetts, U.S.A.	Inactive
ACA	[[Collection ACA|ACA]]	Automatically matched with IH	Agricultural University of Athens	Athens, Greece	Active
ACAD	[[Collection ACAD|ACAD]]	Automatically matched with IH	Acadia University	Wolfville, Nova Scotia, Canada	Active
AKAD	[[Collection ACAD|ACAD]]	Typo or alternative spelling. Should be ACAD			
AD	[[Collection AD|AD]]	Automatically matched with IH	State Herbarium of South Australia	Adelaide, South Australia, Australia	Active
ADMONT	[[Collection ADMONT|ADMONT]]	Automatically matched with IH	Benediktinerstift Admont	Admont, Austria	Active
ADU	[[Collection ADU|ADU]]	Automatically matched with IH	University of Adelaide	Adelaide, South Australia, Australia	Inactive
ADW	[[Collection ADW|ADW]]	Automatically matched with IH	University of Adelaide	Adelaide, South Australia, Australia	Inactive
AFS	[[Collection AFS|AFS]]	Automatically matched with IH	American Fern Society Herbarium	, U.S.A.	Inactive
AHFH	[[Collection AHFH|AHFH]]	Automatically matched with IH	University of Southern California	Los Angeles, California, U.S.A.	Inactive
AHW	[[Collection AHW|AHW]]	Can be resolved. see Fryxell, G.A., Diatom. coll. Beih. Nova Hedwigia 53: 361. 1975			
AK	[[Collection AK|AK]]	Automatically matched with IH	Auckland War Memorial Museum	Auckland, New Zealand	Active
AKU	[[Collection AKU|AKU]]	Automatically matched with IH	University of Auckland	Auckland, New Zealand	Inactive
AL	[[Collection AL|AL]]	Automatically matched with IH	Université d'Alger	Algiers, Algeria	Active
ALA	[[Collection ALA|ALA]]	Automatically matched with IH	University of Alaska Museum of the North	Fairbanks, Alaska, U.S.A.	Active
ALMA	[[Collection ALMA|ALMA]]	Automatically matched with IH	Alma College	Alma, Michigan, U.S.A.	Active
ALTA	[[Collection ALTA|ALTA]]	Automatically matched with IH	University of Alberta	Edmonton, Alberta, Canada	Active
ALU	[[Collection ALU|ALU]]	Automatically matched with IH	Alabama Museum of Natural History	Tuscaloosa, Alabama, U.S.A.	Inactive
AMD	[[Collection AMD|AMD]]	Automatically matched with IH	Naturalis Biodiversity Center	Leiden, The Netherlands	Permanently closed
AMES	[[Collection AMES|AMES]]	Automatically matched with IH	Harvard University	Cambridge, Massachusetts, U.S.A.	Active
AMNH	[[Collection AMNH|AMNH]]	Automatically matched with IH	Icelandic Institute of Natural History, Akureyri Division	Akureyri, Iceland	Active
AMS	[[Collection AMS|AMS]]	Surely in Amsterdam. AMD? Suggestion added in text			
ANG	[[Collection ANG|ANG]]	Automatically matched with IH	Muséum des sciences naturelles d'Angers	Angers, France	Active
ANGUC	[[Collection ANGUC|ANGUC]]	Automatically matched with IH	Université Catholiques de l'Ouest	Angers, France	Active
ANK	[[Collection ANK|ANK]]	Automatically matched with IH	Ankara Üniversitesi	Ankara, Ankara, Turkey	Active
ARIZ	[[Collection ARIZ|ARIZ]]	Automatically matched with IH	University of Arizona	Tucson, Arizona, U.S.A.	Active
ASSAM	[[Collection ASSAM|ASSAM]]	Automatically matched with IH	Botanical Survey of India, Eastern Regional Centre	Shillong, Meghalaya, India	Active
ASTC	[[Collection ASTC|ASTC]]	Automatically matched with IH	Stephen F. Austin State University	Nacogdoches, Texas, U.S.A.	Active
ASU	[[Collection ASU|ASU]]	Automatically matched with IH	Arizona State University	Tempe, Arizona, U.S.A.	Active
ASUF	[[Collection ASUF|ASUF]]	Automatically matched with IH	Rocky Mountain Research Station, USDA Forest Service	Flagstaff, Arizona, U.S.A.	Active
ATCC	[[Collection ATCC|ATCC]]	Automatically matched with IH	American Type Culture Collection	Manassas, Virginia, U.S.A.	Active
ATHU	[[Collection ATHU|ATHU]]	Automatically matched with IH	National and Kapodistrian University of Athens	Athens, Greece	Active
AUA	[[Collection AUA|AUA]]	Automatically matched with IH	Auburn University Museum of Natural History	Auburn, Alabama, U.S.A.	Active
AUK	[[Collection AUK|AUK]]	In one case AK. In 2 others A or AK? Suggestion added in text			
AUT	[[Collection AUT|AUT]]	Automatically matched with IH	Muséum d'Histoire Naturelle	Autun, France	Active
AV	[[Collection AV|AV]]	Automatically matched with IH	Muséum Requien	Avignon, France	Active
AWH	[[Collection AWH|AWH]]	Automatically matched with IH	Dr. Henri Van Heurck Museum	Antwerpen, Belgium	Permanently closed
AWM	[[Collection AWH|AWH]]	Typo or alternative spelling. Should be AWH			
AZ	[[Collection AZ|AZ]]	Automatically matched with IH	Museu Carlos Machado	Ponta Delgada, Azores, Portugal	Active
B	[[Collection B|B]]	Automatically matched with IH	ZE Botanischer Garten und Botanisches Museum, Freie Universität Berlin	Berlin, Berlin, Germany	Active
BA	[[Collection BA|BA]]	Automatically matched with IH	"Museo Argentino de Ciencias Naturales ""Bernardino Rivadavia"""	Buenos Aires, Buenos Aires, Argentina	Active
BAA	[[Collection BAA|BAA]]	Automatically matched with IH	Facultad de Agronomía - Universidad de Buenos Aires	Ciudad Autónoma de Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina	Active
BAB	[[Collection BAB|BAB]]	Automatically matched with IH	Instituto Nacional de Tecnología Agropecuaria	Castelar, Buenos Aires, Argentina	Active
BAE	[[Collection BAE|BAE]]	Automatically matched with IH	Willis Museum and Art Gallery	Basingstoke, England, U.K.	Inactive
BAF	[[Collection BAF|BAF]]	Automatically matched with IH	Universidad de Buenos Aires	Buenos Aires, Buenos Aires, Argentina	Active
BAFC	[[Collection BAFC|BAFC]]	Automatically matched with IH	Universidad de Buenos Aires	Buenos Aires, Buenos Aires, Argentina	Active
BAG	[[Collection BAG|BAG]]	Automatically matched with IH	Ministry of Agriculture	Baghdad, Iraq	Active
BAI	[[Collection BAI|BAI]]	Automatically matched with IH	Instituto Forestal Nacional (IFONA)	Castelar, Buenos Aires, Argentina	Inactive
BAJ	[[Collection BAJ|BAJ]]	Automatically matched with IH	"Botanic Garden of the City ""Carlos Thays"""	Buenos Aires, Buenos Aires, Argentina	Active
BAK	[[Collection BAK|BAK]]	Automatically matched with IH	Azerbaijan National Academy of Sciences (ANAS)	Baku, Azerbaijan	Active
BAL	[[Collection BAL|BAL]]	Automatically matched with IH	UNMdP (Universidad Nacional de Mar del Plata) - INTA (Instituto Nacional de Tecnología Agropecuaria)	Balcarce, Buenos Aires, Argentina	Active
BARC	[[Collection BARC|BARC]]	Automatically matched with IH	United States National Arboretum, USDA-ARS	Washington, District of Columbia, U.S.A.	Active
BARO	[[Collection BARO|BARO]]	Automatically matched with IH	Maharaja Sayajirao University of Baroda	Baroda, Gujarat, India	Active
BAS	[[Collection BAS|BAS]]	Automatically matched with IH	University of Basel	Bottmingen, Switzerland	Active
BASSA	[[Collection BASSA|BASSA]]	Automatically matched with IH	Museo Civico di Bassano del Grappa	Bassano del Grappa, Vicenza, Italy	Active
BAY	[[Collection BAY|BAY]]	Automatically matched with IH	Muséum d'Histoire Naturelle de Bayonne	Bayonne, France	Active
BAYLU	[[Collection BAYLU|BAYLU]]	Automatically matched with IH	Baylor University	Waco, Texas, U.S.A.	Active
BB	[[Collection BB|BB]]	Automatically matched with IH	Universidad Nacional del Sur	Bahía Blanca, Buenos Aires, Argentina	Active
BC	[[Collection BC|BC]]	Automatically matched with IH	Institut Botànic de Barcelona	Barcelona, Spain	Active
BCC	[[Collection BCC|BCC]]	Automatically matched with IH	Universitat de Barcelona	Barcelona, Spain	Inactive
BCF	[[Collection BCF|BCF]]	Automatically matched with IH	Universitat de Barcelona	Barcelona, Spain	Inactive
BCL	[[Collection BCL|BCL]]	Automatically matched with IH	Bates College	Lewiston, Maine, U.S.A.	Inactive
BCN	[[Collection BCN|BCN]]	Automatically matched with IH	University of Barcelona	Barcelona, Barcelona, Spain	Active
BCW	[[Collection BCW|BCW]]	Automatically matched with IH	Bedford College, University of London	Egham, England, U.K.	Permanently closed
BDI	[[Collection BDI|BDI]]	Automatically matched with IH	Putnam Museum of History and Natural Science	Davenport, Iowa, U.S.A.	Active
BDK	[[Collection BDK|BDK]]	Automatically matched with IH	North Hertfordshire Museums Service	Hitchin, Hertfordshire, England, U.K.	Active
BE	[[Collection BE|BE]]	In Burgerbibliothek Bern. Not BERN! No IH or GRSciColl record			
BEI	[[Collection BEI|BEI]]	Automatically matched with IH	American University of Beirut	Beirut, Lebanon	Active
BEL	[[Collection BEL|BEL]]	Automatically matched with IH	National Museums Northern Ireland (Ulster Museum)	Cultra, Holywood, Northern Ireland, U.K.	Active
BERN	[[Collection BERN|BERN]]	Automatically matched with IH	University of Bern	Bern, Switzerland	Active
BFD	[[Collection BFD|BFD]]	Automatically matched with IH	Bedfordshire Natural History Society	Bedford, England, U.K.	Inactive
BFT	[[Collection BFT|BFT]]	Automatically matched with IH	Queen's University	Belfast, Northern Ireland, U.K.	Inactive
BFY	[[Collection BFY|BFY]]	Automatically matched with IH	John Innes Horticultural Institution	Bayfordbury, England, U.K.	Permanently closed
BG	[[Collection BG|BG]]	Automatically matched with IH	University of Bergen	Bergen, Norway	Active
BGSU	[[Collection BGSU|BGSU]]	Automatically matched with IH	Bowling Green State University	Bowling Green, Ohio, U.S.A.	Active
BH	[[Collection BH|BH]]	Automatically matched with IH	Cornell University	Ithaca, New York, U.S.A.	Active
BHC	[[Collection BH|BH]], [[Collection C|C]]	Fused BH and C			
BHA	[[Collection BHA|BHA]]	Not an OCR error. Not in IH-Collectors			
BHD	[[Collection BHD|BHD]]	Automatically matched with IH	Williamson Art Gallery and Museum	Birkenhead, England, U.K.	Inactive
BHDL	[[Collection BHDL|BHDL]]	Automatically matched with IH	Birkenhead Reference Library	Birkenhead, England, U.K.	Active
BHMG	[[Collection BHMG|BHMG]]	Automatically matched with IH	Instituto Agronômico	Belo Horizonte, Minas Gerais, Brazil	Inactive
BHU	[[Collection BHU|BHU]]	Automatically matched with IH	Humboldt-Universität zu Berlin	Berlin, Germany	Active
BHUPM	[[Collection BHUPM|BHUPM]]	Automatically matched with IH	Museum für Naturkunde	Berlin, Germany	Active
BHV	[[Collection BHV|BHV]]	Not an OCR error. Not in IH-Collectors			
BI	[[Collection BI|BI]]	Automatically matched with IH	Museo Orto Botanico, Università degli Studi di Bari.	Bari, Italy	Active
BIRA	[[Collection BIRA|BIRA]]	Automatically matched with IH	Birmingham Museums Trust	Birmingham, England, U.K.	Active
BIRM	[[Collection BIRM|BIRM]]	Automatically matched with IH	University of Birmingham	Birmingham, West Midlands, U.K.	Active
BISH	[[Collection BISH|BISH]]	Automatically matched with IH	Bishop Museum	Honolulu, Hawaii, U.S.A.	Active
BK	[[Collection BK|BK]]	Automatically matched with IH	Plant Varieties Protection Office	Bangkok, Thailand	Active
BKG	[[Collection BKG|BKG]]	Not an OCR error. Not in IH-Collectors. BKL? Suggestion added in text			
BKL	[[Collection BKL|BKL]]	Automatically matched with IH	Brooklyn Botanic Garden	Bronx, New York, U.S.A.	Active
BLAT	[[Collection BLAT|BLAT]]	Automatically matched with IH	St. Xavier's College	Mumbai, Maharashtra, India	Active
BLFU	[[Collection BLFU|BLFU]]	Automatically matched with IH	University of the Free State	Bloemfontein, Free State Province, Republic of South Africa	Active
BLH	[[Collection BLH|BLH]]	Automatically matched with IH	Cranbrook Institute of Science	Bloomfield Hills, Michigan, U.S.A.	Active
BM	[[Collection BM|BM]]	Automatically matched with IH	The Natural History Museum	London, England, U.K.	Active
BMH	[[Collection BMH|BMH]]	Automatically matched with IH	Museum	Bournemouth, England, U.K.	Active
BMNH	[[Collection BMNH|BMNH]]	Library of British Museum (Natural History) London			
BMU	[[Collection BMU|BMU]]	Not an OCR error. Not in IH8. BM? Suggestion added in text			
BNS	[[Collection BNS|BNS]]	Automatically matched with IH	Bristol Museum and Art Gallery	Bristol, England, U.K.	Inactive
BO	[[Collection BO|BO]]	Automatically matched with IH	Research Centre for Biology	Cibinong, Indonesia	Active
BOG	[[Collection BOG|BOG]]	Automatically matched with IH	Universidad de La Salle	Bogotá, D.C., Colombia	Active
BOL	[[Collection BOL|BOL]]	Automatically matched with IH	University of Cape Town	Cape Town, Western Cape Province, Republic of South Africa	Active
BOLO	[[Collection BOLO|BOLO]]	Automatically matched with IH	Università di Bologna	Bologna, Italy	Active
BOLU	[[Collection BOLU|BOLU]]	Typo. COLU in IH-Collectors. Unlikely to be COLO, more likely BOLO. Suggestion added in text			
BON	[[Collection BON|BON]]	Automatically matched with IH	Bolton Museum, Art Gallery and Aquarium	Bolton, England, U.K.	Active
BONN	[[Collection BONN|BONN]]	Automatically matched with IH	University of Bonn	Bonn, Germany	Active
BORD	[[Collection BORD|BORD]]	Automatically matched with IH	Bordeaux Botanical	Bordeaux, France	Active
BP	[[Collection BP|BP]]	Automatically matched with IH	Hungarian Natural History Museum	Budapest, Hungary	Active
BPC	[[Collection BPC|BPC]]	Not an OCR error. Same in IH-Collectors			
BPI	[[Collection BPI|BPI]]	Automatically matched with IH	U.S. National Fungus Collections, USDA-ARS	Beltsville, Maryland, U.S.A.	Active
BPU	[[Collection BPU|BPU]]	Automatically matched with IH	Eötvös Loránd University	Budapest, Hungary	Permanently closed
BR	[[Collection BR|BR]]	Automatically matched with IH	Meise Botanic Garden	Meise, Belgium	Active
BRA	[[Collection BRA|BRA]]	Automatically matched with IH	Slovak National Museum	Bratislava, Slovakia	Active
BREG	[[Collection BREG|BREG]]	Automatically matched with IH	inatura Erlebnis Naturschau GmbH	Dornbirn, Austria	Active
BREM	[[Collection BREM|BREM]]	Automatically matched with IH	Übersee-Museum Bremen	Bremen, Germany	Active
BRG	[[Collection BRG|BRG]]	Automatically matched with IH	University of Guyana	Georgetown, Guyana	Active
BRH	[[Collection BRH|BRH]]	Automatically matched with IH	Ministry of Agriculture, Fisheries, Forestry, the Environment, Sustainable Development, and Climate Change	Belmopan City, Cayo District, Belize	Active
BRI	[[Collection BRI|BRI]]	Automatically matched with IH	Queensland Herbarium & Biodiversity Science	Brisbane, Queensland, Australia	Active
BRIST	[[Collection BRIST|BRIST]]	Automatically matched with IH	University of Bristol	Bristol, England, U.K.	Inactive
BRISTM	[[Collection BRISTM|BRISTM]]	Automatically matched with IH	Bristol Museum and Art Gallery	Bristol, England, U.K.	Active
BRSITM	[[Collection BRISTM|BRISTM]]	Typo or alternative spelling. Should be BRISTM			
BRSTM	[[Collection BRISTM|BRISTM]]	Typo or alternative spelling. Should be BRISTM			
BRISTOL	[[Collection BRISTM|BRISTOL]]	TL-2 has BRIST and BRISTM. Currently the former is fused with the latter.			
BRIT	[[Collection BRIT|BRIT]]	Automatically matched with IH	Botanical Research Institute of Texas	Fort Worth, Texas, U.S.A.	Active
BRL	[[Collection BRL|BRL]]	Automatically matched with IH	Bristol City Library	Bristol, England, U.K.	Active
BRLU	[[Collection BRLU|BRLU]]	Automatically matched with IH	Université Libre de Bruxelles	Bruxelles, Belgium	Active
BRM	[[Collection BRM|BRM]]	Automatically matched with IH	Alfred-Wegener-Institut für Polar- und Meeresforschung	Bremerhaven, Germany	Active
BRN	[[Collection BRN|BRN]]	Automatically matched with IH	Sexey's School	Bruton, England, U.K.	Inactive
BRNM	[[Collection BRNM|BRNM]]	Automatically matched with IH	Moravian Museum	Brno, Czech Republic	Active
BRNO	[[Collection BRNU|BRNO]]	Clearly resolved within TL-2			
BRNU	[[Collection BRNU|BRNU]]	Automatically matched with IH	Masaryk University	Brno-Bohunice, Czech Republic	Active
BRSL	[[Collection BRSL|BRSL]]	Automatically matched with IH	Wroclaw University	Wroclaw, Poland	Inactive
BRU	[[Collection BRU|BRU]]	Automatically matched with IH	Brown University	Providence, Rhode Island, U.S.A.	Active
BRVU	[[Collection BRVU|BRVU]]	Automatically matched with IH	Vrije Universiteit Brussel	Bruxelles, Belgium	Permanently closed
BRY	[[Collection BRY|BRY]]	Automatically matched with IH	Brigham Young University	Provo, Utah, U.S.A.	Active
BSB	[[Collection BSB|BSB]]	Automatically matched with IH	Freie Universität Berlin	Berlin, Germany	Active
BSD	[[Collection BSD|BSD]]	Automatically matched with IH	Botanical Survey of India, Northern Regional Centre	Dehra Dun, Uttarakhand, India	Active
BSI	[[Collection BSI|BSI]]	Automatically matched with IH	Botanical Survey of India, Western Circle	Pune, Maharashtra, India	Active
BSN	[[Collection BSN|BSN]]	Automatically matched with IH	Boston University	Boston, Massachusetts, U.S.A.	Active
BTN	[[Collection BTN|BTN]]	Automatically matched with IH	Booth Museum of Natural History	Brighton, England, U.K.	Active
BUA	[[Collection BUA|BUA]]	Automatically matched with IH	University of Baghdad	Baghdad, Baghdad, Iraq	Active
BUC	[[Collection BUC|BUC]]	Automatically matched with IH	Gradina Botanica D. Brandza	Bucuresti, Romania	Active
BUG	[[Collection BUC|BUC]]	OCR error			
BUCA	[[Collection BUCA|BUCA]]	Automatically matched with IH	Institute of Biology, Romanian Academy	Bucuresti, Romania	Active
BUCM	[[Collection BUCM|BUCM]]	Automatically matched with IH	Institute of Biology Bucharest, Romanian Academy	Bucuresti, Romania	Active
BUF	[[Collection BUF|BUF]]	Automatically matched with IH	Buffalo Museum of Science	Buffalo, New York, U.S.A.	Active
BUH	[[Collection BUH|BUH]]	Automatically matched with IH	University of Baghdad	Baghdad, Iraq	Active
BUL	[[Collection BUL|BUL]]	Automatically matched with IH	Natural History Museum of Zimbabwe	Bulawayo, Zimbabwe	Active
BUS	[[Collection BUS|BUS]]	Automatically matched with IH	University of Miami	Coral Gables, Florida, U.S.A.	Inactive
BUT	[[Collection BUT|BUT]]	Automatically matched with IH	Butler University	Indianapolis, Indiana, U.S.A.	Active
BZF	[[Collection BZF|BZF]]	Automatically matched with IH	Forest Research and Development Center and Nature Conservation	Bogor, Indonesia	Inactive
C	[[Collection C|C]]	Automatically matched with IH	University of Copenhagen	Copenhagen, Denmark	Active
CAFB	[[Collection CAFB|CAFB]]	Automatically matched with IH	Northern Forestry Centre, Canadian Forest Service	Edmonton, Alberta, Canada	Active
CAG	[[Collection CAG|CAG]]	Automatically matched with IH	Università degli Studi di Cagliari	Cagliari, Italy	Active
CAHS	[[Collection CAHS|CAHS]]	Automatically matched with IH	Crispus Attucks High School	Indianapolis, Indiana, U.S.A.	Inactive
CAI	[[Collection CAI|CAI]]	Automatically matched with IH	Cairo University	Cairo, Egypt	Active
CAIH	[[Collection CAIH|CAIH]]	Automatically matched with IH	Desert Research Center, Mataria	Cairo, Egypt	Active
CAIM	[[Collection CAIM|CAIM]]	Automatically matched with IH	Agricultural Research Center	Cairo, Egypt	Active
CAIRNS	[[Collection CAIRNS|CAIRNS]]	Automatically matched with IH	c/o North Queensland Naturalists' Club	Cairns, Queensland, Australia	Inactive
CAL	[[Collection CAL|CAL]]	Automatically matched with IH	Botanical Survey of India	Howrah, West Bengal, India	Active
CAM	[[Collection CAM|CAM]]	Automatically matched with IH	St. John's College	Cambridge, England, U.K.	Active
CAN	[[Collection CAN|CAN]]	Automatically matched with IH	Canadian Museum of Nature	Gatineau, Quebec, Canada	Active
CANB	[[Collection CANB|CANB]]	Automatically matched with IH	Australian National Herbarium	Canberra, Australian Capital Territory, Australia	Active
CANL	[[Collection CANL|CANL]]	Automatically matched with IH	Canadian Museum of Nature	Gatineau, Quebec, Canada	Active
CANM	[[Collection CANM|CANM]]	Automatically matched with IH	Canadian Museum of Nature	Gatineau, Québec, Canada	Active
CANTY	[[Collection CANTY|CANTY]]	Automatically matched with IH	Canterbury Museum	Christchurch, New Zealand	Inactive
CART	[[Collection CART|CART]]	Automatically matched with IH	Carthage College	, U.S.A.	Inactive
CAS	[[Collection CAS|CAS]]	Automatically matched with IH	California Academy of Sciences	San Francisco, California, U.S.A.	Active
CAT	[[Collection CAT|CAT]]	Automatically matched with IH	Università di Catania	Catania, Italy	Active
CB	[[Collection CB|CB]]	Automatically matched with IH	Jihoceské muzeum v Ceských Budejovicích	Ceské Budejovice, Czech Republic	Active
CBG	[[Collection CBG|CBG]]	Automatically matched with IH	Australian National Herbarium	Canberra, Australian Capital Territory, Australia	Permanently closed
CBS	[[Collection CBS|CBS]]	Automatically matched with IH	Westerdijk Fungal Biodiversity Institute	Utrecht, Netherlands	Active
CEL	[[Collection CEL|CEL]]	Automatically matched with IH	University of Illinois	Urbana, Illinois, U.S.A.	Active
CERN	[[Collection CERN|CERN]]	Automatically matched with IH	University	Chernivtsi, Ukraine	Permanently closed
CFMR	[[Collection CFMR|CFMR]]	Automatically matched with IH	U.S. Forest Service, NRS, Center for Forest Mycology Research	Madison, Wisconsin, U.S.A.	Active
CFN	[[Collection CFN|CFN]]	Automatically matched with IH	Clifton College	Bristol, England, U.K.	Inactive
CGE	[[Collection CGE|CGE]]	Automatically matched with IH	Cambridge University Herbarium	Cambridge, England, U.K.	Active
CGI	[[Collection CGE|CGE]]	Typo or alternative spelling. Should be CGE			
CSE	[[Collection CGE|CGE]]	Typo or alternative spelling. Should be CGE			
GGE	[[Collection CGE|CGE]]	OCR error			
CH	[[Collection CH|CH]]	Automatically matched with IH	El Colegio de la Frontera Sur	San Cristóbal de las Casas, Chiapas, Mexico	Active
CHARL	[[Collection CHARL|CHARL]]	Automatically matched with IH	Charleston Museum	Charleston, South Carolina, U.S.A.	Active
CHE	[[Collection CHE|CHE]]	Automatically matched with IH	Société Nationale des Sciences Naturelles et Mathématiques de Cherbourg	Cherbourg, France	Active
CHER	[[Collection CHER|CHER]]	Automatically matched with IH	Yu. Fedcovich Chernivtsi State University	Chernivtsi, Ukraine	Active
CHIS	[[Collection CHIS|CHIS]]	Automatically matched with IH	Academy of Sciences of Moldova	Kishinev, Moldova	Active
CHR	[[Collection CHR|CHR]]	Automatically matched with IH	Manaaki Whenua - Landcare Research	Christchurch, Lincoln, New Zealand	Active
CHRB	[[Collection CHRB|CHRB]]	Automatically matched with IH	Rutgers University	New Brunswick, New Jersey, U.S.A.	Active
CHUR	[[Collection CHUR|CHUR]]	Automatically matched with IH	Bündner Naturmuseum	Chur, Switzerland	Active
CI	[[Collection CI|CI]]	Automatically matched with IH	Carnegie Institution of Washington	Stanford, California, U.S.A.	Inactive
CINC	[[Collection CINC|CINC]]	Automatically matched with IH	University of Cincinnati	Cincinnati, Ohio, U.S.A.	Active
CINN	[[Collection CINC|CINC]]	Typo or alternative spelling. Should be CINC			
CL	[[Collection CL|CL]]	Automatically matched with IH	Babes-Bolyai University	Cluj-Napoca, Romania	Active
CLA	[[Collection CLA|CLA]]	Automatically matched with IH	Universitatea de Stiinte Agricole si Medicina Veterinara	Cluj-Napoca, Romania	Active
CLCB	[[Collection CLCB|CLCB]]	Automatically matched with IH	Laboratorul de Ecologie	Cluj-Napoca, Romania	Inactive
CLE	[[Collection CLE|CLE]]	Automatically matched with IH	Tullie House Museum	Carlisle, England, U.K.	Active
CLF	[[Collection CLF|CLF]]	Automatically matched with IH	UNIVEGE Université Clermont Auvergne	Clermont-Ferrand, France	Active
CLM	[[Collection CLM|CLM]]	Automatically matched with IH	Cleveland Museum of Natural History	Cleveland, Ohio, U.S.A.	Active
CLR	[[Collection CLR|CLR]]	Automatically matched with IH	All Saint's Church	Colchester, England, U.K.	Temporarily closed
CM	[[Collection CM|CM]]	Automatically matched with IH	Carnegie Museum of Natural History	Pittsburgh, Pennsylvania, U.S.A.	Active
CMM	[[Collection CMM|CMM]]	Automatically matched with IH	Bradford Art Galleries and Museums	Bradford, England, U.K.	Active
CN	[[Collection CN|CN]]	Automatically matched with IH	Université de Caen-Normandie	Caen, France	Active
COCO	[[Collection COCO|COCO]]	Automatically matched with IH	Colorado College	Colorado Springs, Colorado, U.S.A.	Active
COI	[[Collection COI|COI]]	Automatically matched with IH	Herbarium of the University of Coimbra	Coimbra, Portugal	Active
COL	[[Collection COL|COL]]	Automatically matched with IH	Universidad Nacional de Colombia	Bogotá, D.C., Colombia	Active
COLO	[[Collection COLO|COLO]]	Automatically matched with IH	University of Colorado Museum of Natural History	Boulder, Colorado, U.S.A.	Active
COLU	[[Collection COLO|COLO]]	Many occurrences! Not an OCR error. Almost surely an alternative spelling. Should be COLO			
GOLO	[[Collection COLO|COLO]]	OCR error			
CONN	[[Collection CONN|CONN]]	Automatically matched with IH	University of Connecticut	Storrs, Connecticut, U.S.A.	Active
CORD	[[Collection CORD|CORD]]	Automatically matched with IH	Herbario CORD	Córdoba, Córdoba, Argentina	Active
CP	[[Collection CP|CP]]	Automatically matched with IH	University of Copenhagen	Frederiksberg, Denmark	Inactive
CPH	[[Collection CPH|CPH]]	Automatically matched with IH	University of the Pacific	Stockton, California, U.S.A.	Active
CR	[[Collection CR|CR]]	Automatically matched with IH	Museo Nacional de Costa Rica	San José, Costa Rica	Active
CRK	[[Collection CRK|CRK]]	Automatically matched with IH	University College	Cork, Ireland	Inactive
CS	[[Collection CS|CS]]	Automatically matched with IH	Colorado State University	Fort Collins, Colorado, U.S.A.	Active
CSAT	[[Collection CSAT|CSAT]]	Automatically matched with IH	Colegio de Postgraduados, Campus Tabasco	Cárdenas, Tabasco, Mexico	Active
CT	[[Collection CT|CT]]	Automatically matched with IH	University of Cape Town	Cape Town, Western Cape Province, Republic of South Africa	Inactive
CU	[[Collection CU|CU]]	Automatically matched with IH	Cornell University	Ithaca, New York, U.S.A.	Inactive
CUB	[[Collection CUP|CUP]]	Typo or alternative spelling. Should be CUP			
CUP	[[Collection CUP|CUP]]	Automatically matched with IH	Cornell University	Ithaca, New York, U.S.A.	Active
CV	[[Collection CV|CV]]	Not an OCR error. Same in IH-Collectors			
CWU	[[Collection CWU|CWU]]	Automatically matched with IH	V. N. Karazin National University	Kharkiv, Ukraine	Active
CYF	[[Collection CYF|CYF]]	Not an OCR error. Not in IH-Collectors. CYP? China?			
CYN	[[Collection CYN|CYN]]	Automatically matched with IH	Chipstead Valley Primary School	Coulsdon, England, U.K.	Inactive
DAD	[[Collection DAD|DAD]]	Not an OCR error. Not in IH-Collectors. DAO? Suggestion added in text			
DAKAR	[[Collection DAKAR|DAKAR]]	Automatically matched with IH	Université Cheikh Anta Diop	Dakar, Senegal	Active
DAL	[[Collection DAL|DAL]]	Automatically matched with IH	Dalhousie University	Halifax, Nova Scotia, Canada	Active
DAO	[[Collection DAO|DAO]]	Automatically matched with IH	National Collection of Vascular Plants - AAFC	Ottawa, Ontario, Canada	Active
