code_in_XMLs	resolved_code_and_link	note	organization	location	status
OREB	[[Collection OREB|OREB]]	Automatically matched with IH	Karolinska Högre Allmänna Läroverket	Örebro, Sweden	Active
ORM	[[Collection ORM|ORM]]	Automatically matched with IH	Muséum d'Orléans pour la Biodiversité et l'Environnement	Orléans, Centre-Val de Loire, France	Active
OS	[[Collection OS|OS]]	Automatically matched with IH	Ohio State University	Columbus, Ohio, U.S.A.	Active
OSA	[[Collection OSA|OSA]]	Automatically matched with IH	Osaka Museum of Natural History	Osaka, Osaka, Japan	Active
OSC	[[Collection OSC|OSC]]	Automatically matched with IH	Oregon State University	Corvallis, Oregon, U.S.A.	Active
OTA	[[Collection OTA|OTA]]	Automatically matched with IH	University of Otago	Dunedin, Otago, New Zealand	Active
OTB	[[Collection OTB|OTB]]	Multiple occurrences, also in IH-Collectors, but not in IH-herb. OTF? Suggestion added in text and a page for [[Collection OTF|OTF]]			
–	[[Collection OTF|OTF]]	See OTB			
OULU	[[Collection OULU|OULU]]	Automatically matched with IH	University of Oulu	Oulu, Finland	Active
OXF	[[Collection OXF|OXF]]	Automatically matched with IH	University of Oxford	Oxford, England, U.K.	Active
OXP	[[Collection OXF|OXF]]	Typo or alternative spelling. Should be OXF			
CHEV	[[Collection P|CHEV]]	Most liklely P-CHEV			
P	[[Collection P|P]]	Automatically matched with IH	Muséum National d'Histoire Naturelle	Paris, France	Active
PA	[[Collection PA|PA]]	Automatically matched with IH	Universidade Federal do Oeste do Pará	Santarém, Pará, Brazil	Inactive
PAC	[[Collection PAC|PAC]]	Automatically matched with IH	The Pennsylvania State University	University Park, Pennsylvania, U.S.A.	Active
PACA	[[Collection PACA|PACA]]	Automatically matched with IH	Instituto Anchietano de Pesquisas/UNISINOS	São Leopoldo, Rio Grande do Sul, Brazil	Active
PAD	[[Collection PAD|PAD]]	Automatically matched with IH	Università degli Studi di Padova	Padua, Italy	Active
PADB	[[Collection PADB|PADB]]	Not an OCR error. Only in IH6. Made a page manually			
PAE	[[Collection PAE|PAE]]	Automatically matched with IH	Universität Basel	Basel, Switzerland	Inactive
PAL	[[Collection PAL|PAL]]	Automatically matched with IH	Orto Botanico dell'Università degli Studi di Palermo	Palermo, Italy	Active
PAM	[[Collection PAM|PAM]]	Automatically matched with IH	Pennsylvania Department of Agriculture	Harrisburg, Pennsylvania, U.S.A.	Active
PAR	[[Collection PAR|PAR]]	Automatically matched with IH	Museo de Ciencias Naturales y Antropológicas Prof. Antonio Serrano	Paraná, Entre Ríos, Argentina	Active
PARMA	[[Collection PARMA|PARMA]]	Automatically matched with IH	Università degli Studi di Parma	Parma, Italy	Active
PAS	[[Collection PAS|PAS]]	Automatically matched with IH	Java Sugar Experimental Station	Pasuruan, Java, Indonesia	Inactive
PAV	[[Collection PAV|PAV]]	Automatically matched with IH	Università di Pavia	Pavia, Italy	Active
PAVIA	[[Collection PAVIA|PAVIA]]	Alternative to PAV? Suggestion added in text			
PC	[[Collection PC|PC]]	Automatically matched with IH	Muséum National d'Histoire Naturelle	Paris, France	Active
PCS	[[Collection PC|PC]], [[Collection S|S]]	Fused PC and S			
PCM	[[Collection PCM|PCM]]	Automatically matched with IH	Presidency College	Chennai, Tamil Nadu, India	Active
PCU	[[Collection PCU|PCU]]	Automatically matched with IH	Muséum National d'Histoire Naturelle	Paris, France	Inactive
PDA	[[Collection PDA|PDA]]	Automatically matched with IH	Department of National Botanic Gardens	Peradeniya, Sri Lanka	Active
